County Name,Minority,Total,white,black,hispanic,american_indian,asian,pacific_Islander,other,two_or_more
183,5381,76429,71048,393,1680,587,1319,9,593,800
184,5381,76429,71048,393,1680,587,1319,9,593,800
185,5381,76429,71048,393,1680,587,1319,9,593,800
186,5381,76429,71048,393,1680,587,1319,9,593,800
187,5381,76429,71048,393,1680,587,1319,9,593,800
188,5381,76429,71048,393,1680,587,1319,9,593,800
189,5381,76429,71048,393,1680,587,1319,9,593,800
190,5381,76429,71048,393,1680,587,1319,9,593,800
191,5381,76429,71048,393,1680,587,1319,9,593,800
192,5381,76429,71048,393,1680,587,1319,9,593,800
193,5381,76429,71048,393,1680,587,1319,9,593,800
194,5381,76429,71048,393,1680,587,1319,9,593,800
195,5381,76429,71048,393,1680,587,1319,9,593,800
196,5381,76429,71048,393,1680,587,1319,9,593,800
197,5381,76429,71048,393,1680,587,1319,9,593,800
198,5381,76429,71048,393,1680,587,1319,9,593,800
199,5381,76429,71048,393,1680,587,1319,9,593,800
200,5381,76429,71048,393,1680,587,1319,9,593,800
201,5381,76429,71048,393,1680,587,1319,9,593,800
202,5381,76429,71048,393,1680,587,1319,9,593,800
203,5381,76429,71048,393,1680,587,1319,9,593,800
204,5381,76429,71048,393,1680,587,1319,9,593,800
205,5381,76429,71048,393,1680,587,1319,9,593,800
206,5381,76429,71048,393,1680,587,1319,9,593,800
207,5381,76429,71048,393,1680,587,1319,9,593,800
208,5381,76429,71048,393,1680,587,1319,9,593,800
209,5381,76429,71048,393,1680,587,1319,9,593,800
210,5381,76429,71048,393,1680,587,1319,9,593,800
211,5381,76429,71048,393,1680,587,1319,9,593,800
212,5381,76429,71048,393,1680,587,1319,9,593,800
213,5381,76429,71048,393,1680,587,1319,9,593,800
214,5381,76429,71048,393,1680,587,1319,9,593,800
215,5381,76429,71048,393,1680,587,1319,9,593,800
216,5381,76429,71048,393,1680,587,1319,9,593,800
217,5381,76429,71048,393,1680,587,1319,9,593,800
218,5381,76429,71048,393,1680,587,1319,9,593,800
219,5381,76429,71048,393,1680,587,1319,9,593,800
220,5381,76429,71048,393,1680,587,1319,9,593,800
221,5381,76429,71048,393,1680,587,1319,9,593,800
222,5381,76429,71048,393,1680,587,1319,9,593,800
223,5381,76429,71048,393,1680,587,1319,9,593,800
224,5381,76429,71048,393,1680,587,1319,9,593,800
225,5381,76429,71048,393,1680,587,1319,9,593,800
226,5381,76429,71048,393,1680,587,1319,9,593,800
227,5381,76429,71048,393,1680,587,1319,9,593,800
228,5381,76429,71048,393,1680,587,1319,9,593,800
229,5381,76429,71048,393,1680,587,1319,9,593,800
230,5381,76429,71048,393,1680,587,1319,9,593,800
231,5381,76429,71048,393,1680,587,1319,9,593,800
232,5381,76429,71048,393,1680,587,1319,9,593,800
233,5381,76429,71048,393,1680,587,1319,9,593,800
234,5381,76429,71048,393,1680,587,1319,9,593,800
235,5381,76429,71048,393,1680,587,1319,9,593,800
236,5381,76429,71048,393,1680,587,1319,9,593,800
237,5381,76429,71048,393,1680,587,1319,9,593,800
238,5381,76429,71048,393,1680,587,1319,9,593,800
239,5381,76429,71048,393,1680,587,1319,9,593,800
240,5381,76429,71048,393,1680,587,1319,9,593,800
241,5381,76429,71048,393,1680,587,1319,9,593,800
242,5381,76429,71048,393,1680,587,1319,9,593,800
243,5381,76429,71048,393,1680,587,1319,9,593,800
244,5381,76429,71048,393,1680,587,1319,9,593,800
245,5381,76429,71048,393,1680,587,1319,9,593,800
246,5381,76429,71048,393,1680,587,1319,9,593,800
247,5381,76429,71048,393,1680,587,1319,9,593,800
248,5381,76429,71048,393,1680,587,1319,9,593,800
249,5381,76429,71048,393,1680,587,1319,9,593,800
250,5381,76429,71048,393,1680,587,1319,9,593,800
251,5381,76429,71048,393,1680,587,1319,9,593,800
252,5381,76429,71048,393,1680,587,1319,9,593,800
253,5381,76429,71048,393,1680,587,1319,9,593,800
254,5381,76429,71048,393,1680,587,1319,9,593,800
255,5381,76429,71048,393,1680,587,1319,9,593,800
256,5381,76429,71048,393,1680,587,1319,9,593,800
257,5381,76429,71048,393,1680,587,1319,9,593,800
258,5381,76429,71048,393,1680,587,1319,9,593,800
259,5381,76429,71048,393,1680,587,1319,9,593,800
260,5381,76429,71048,393,1680,587,1319,9,593,800
261,5381,76429,71048,393,1680,587,1319,9,593,800
262,5381,76429,71048,393,1680,587,1319,9,593,800
263,5381,76429,71048,393,1680,587,1319,9,593,800
264,5381,76429,71048,393,1680,587,1319,9,593,800
265,5381,76429,71048,393,1680,587,1319,9,593,800
266,5381,76429,71048,393,1680,587,1319,9,593,800
267,5381,76429,71048,393,1680,587,1319,9,593,800
268,5381,76429,71048,393,1680,587,1319,9,593,800
269,5381,76429,71048,393,1680,587,1319,9,593,800
270,5381,76429,71048,393,1680,587,1319,9,593,800
271,5381,76429,71048,393,1680,587,1319,9,593,800
272,5381,76429,71048,393,1680,587,1319,9,593,800
273,5381,76429,71048,393,1680,587,1319,9,593,800
274,5381,76429,71048,393,1680,587,1319,9,593,800
275,5381,76429,71048,393,1680,587,1319,9,593,800
276,5381,76429,71048,393,1680,587,1319,9,593,800
277,5381,76429,71048,393,1680,587,1319,9,593,800
278,5381,76429,71048,393,1680,587,1319,9,593,800
279,5381,76429,71048,393,1680,587,1319,9,593,800
280,5381,76429,71048,393,1680,587,1319,9,593,800
281,5381,76429,71048,393,1680,587,1319,9,593,800
282,5381,76429,71048,393,1680,587,1319,9,593,800
283,5381,76429,71048,393,1680,587,1319,9,593,800
284,5381,76429,71048,393,1680,587,1319,9,593,800
285,5381,76429,71048,393,1680,587,1319,9,593,800
286,5381,76429,71048,393,1680,587,1319,9,593,800
287,5381,76429,71048,393,1680,587,1319,9,593,800
288,5381,76429,71048,393,1680,587,1319,9,593,800
289,5381,76429,71048,393,1680,587,1319,9,593,800
290,5381,76429,71048,393,1680,587,1319,9,593,800
291,5381,76429,71048,393,1680,587,1319,9,593,800
292,5381,76429,71048,393,1680,587,1319,9,593,800
293,5381,76429,71048,393,1680,587,1319,9,593,800
294,5381,76429,71048,393,1680,587,1319,9,593,800
295,5381,76429,71048,393,1680,587,1319,9,593,800
296,5381,76429,71048,393,1680,587,1319,9,593,800
297,5381,76429,71048,393,1680,587,1319,9,593,800
298,5381,76429,71048,393,1680,587,1319,9,593,800
299,5381,76429,71048,393,1680,587,1319,9,593,800
300,5381,76429,71048,393,1680,587,1319,9,593,800
301,5381,76429,71048,393,1680,587,1319,9,593,800
302,5381,76429,71048,393,1680,587,1319,9,593,800
303,5381,76429,71048,393,1680,587,1319,9,593,800
304,5381,76429,71048,393,1680,587,1319,9,593,800
305,5381,76429,71048,393,1680,587,1319,9,593,800
306,5381,76429,71048,393,1680,587,1319,9,593,800
307,5381,76429,71048,393,1680,587,1319,9,593,800
308,5381,76429,71048,393,1680,587,1319,9,593,800
309,5381,76429,71048,393,1680,587,1319,9,593,800
310,5381,76429,71048,393,1680,587,1319,9,593,800
311,5381,76429,71048,393,1680,587,1319,9,593,800
312,5381,76429,71048,393,1680,587,1319,9,593,800
313,5381,76429,71048,393,1680,587,1319,9,593,800
314,5381,76429,71048,393,1680,587,1319,9,593,800
315,5381,76429,71048,393,1680,587,1319,9,593,800
316,5381,76429,71048,393,1680,587,1319,9,593,800
317,5381,76429,71048,393,1680,587,1319,9,593,800
318,5381,76429,71048,393,1680,587,1319,9,593,800
319,5381,76429,71048,393,1680,587,1319,9,593,800
320,5381,76429,71048,393,1680,587,1319,9,593,800
321,5381,76429,71048,393,1680,587,1319,9,593,800
322,5381,76429,71048,393,1680,587,1319,9,593,800
323,5381,76429,71048,393,1680,587,1319,9,593,800
324,5381,76429,71048,393,1680,587,1319,9,593,800
325,5381,76429,71048,393,1680,587,1319,9,593,800
326,5381,76429,71048,393,1680,587,1319,9,593,800
327,5381,76429,71048,393,1680,587,1319,9,593,800
328,5381,76429,71048,393,1680,587,1319,9,593,800
329,5381,76429,71048,393,1680,587,1319,9,593,800
330,5381,76429,71048,393,1680,587,1319,9,593,800
331,5381,76429,71048,393,1680,587,1319,9,593,800
332,5381,76429,71048,393,1680,587,1319,9,593,800
333,5381,76429,71048,393,1680,587,1319,9,593,800
334,5381,76429,71048,393,1680,587,1319,9,593,800
335,5381,76429,71048,393,1680,587,1319,9,593,800
336,5381,76429,71048,393,1680,587,1319,9,593,800
337,5381,76429,71048,393,1680,587,1319,9,593,800
338,5381,76429,71048,393,1680,587,1319,9,593,800
339,5381,76429,71048,393,1680,587,1319,9,593,800
340,5381,76429,71048,393,1680,587,1319,9,593,800
341,5381,76429,71048,393,1680,587,1319,9,593,800
342,5381,76429,71048,393,1680,587,1319,9,593,800
343,5381,76429,71048,393,1680,587,1319,9,593,800
344,5381,76429,71048,393,1680,587,1319,9,593,800
345,5381,76429,71048,393,1680,587,1319,9,593,800
346,5381,76429,71048,393,1680,587,1319,9,593,800
347,5381,76429,71048,393,1680,587,1319,9,593,800
348,5381,76429,71048,393,1680,587,1319,9,593,800
349,5381,76429,71048,393,1680,587,1319,9,593,800
350,5381,76429,71048,393,1680,587,1319,9,593,800
351,5381,76429,71048,393,1680,587,1319,9,593,800
352,5381,76429,71048,393,1680,587,1319,9,593,800
353,5381,76429,71048,393,1680,587,1319,9,593,800
354,5381,76429,71048,393,1680,587,1319,9,593,800
355,5381,76429,71048,393,1680,587,1319,9,593,800
356,5381,76429,71048,393,1680,587,1319,9,593,800
357,5381,76429,71048,393,1680,587,1319,9,593,800
358,5381,76429,71048,393,1680,587,1319,9,593,800
359,5381,76429,71048,393,1680,587,1319,9,593,800
360,5381,76429,71048,393,1680,587,1319,9,593,800
361,5381,76429,71048,393,1680,587,1319,9,593,800
362,5381,76429,71048,393,1680,587,1319,9,593,800
363,5381,76429,71048,393,1680,587,1319,9,593,800
364,5381,76429,71048,393,1680,587,1319,9,593,800
365,5381,76429,71048,393,1680,587,1319,9,593,800
366,5381,76429,71048,393,1680,587,1319,9,593,800
367,5381,76429,71048,393,1680,587,1319,9,593,800
368,5381,76429,71048,393,1680,587,1319,9,593,800
369,5381,76429,71048,393,1680,587,1319,9,593,800
370,5381,76429,71048,393,1680,587,1319,9,593,800
371,5381,76429,71048,393,1680,587,1319,9,593,800
372,5381,76429,71048,393,1680,587,1319,9,593,800
373,5381,76429,71048,393,1680,587,1319,9,593,800
374,5381,76429,71048,393,1680,587,1319,9,593,800
375,5381,76429,71048,393,1680,587,1319,9,593,800
376,5381,76429,71048,393,1680,587,1319,9,593,800
377,5381,76429,71048,393,1680,587,1319,9,593,800
378,5381,76429,71048,393,1680,587,1319,9,593,800
379,5381,76429,71048,393,1680,587,1319,9,593,800
380,5381,76429,71048,393,1680,587,1319,9,593,800
