County Name,Voters,Total,total,voting
814,57745,74749,74749,57745
815,57745,74749,74749,57745
816,57745,74749,74749,57745
817,57745,74749,74749,57745
818,57745,74749,74749,57745
819,57745,74749,74749,57745
820,57745,74749,74749,57745
821,57745,74749,74749,57745
822,57745,74749,74749,57745
823,57745,74749,74749,57745
824,57745,74749,74749,57745
825,57745,74749,74749,57745
826,57745,74749,74749,57745
827,57745,74749,74749,57745
828,57745,74749,74749,57745
829,57745,74749,74749,57745
830,57745,74749,74749,57745
831,57745,74749,74749,57745
832,57745,74749,74749,57745
833,57745,74749,74749,57745
834,57745,74749,74749,57745
835,57745,74749,74749,57745
836,57745,74749,74749,57745
837,57745,74749,74749,57745
838,57745,74749,74749,57745
839,57745,74749,74749,57745
840,57745,74749,74749,57745
841,57745,74749,74749,57745
842,57745,74749,74749,57745
843,57745,74749,74749,57745
844,57745,74749,74749,57745
845,57745,74749,74749,57745
846,57745,74749,74749,57745
847,57745,74749,74749,57745
848,57745,74749,74749,57745
849,57745,74749,74749,57745
850,57745,74749,74749,57745
851,57745,74749,74749,57745
852,57745,74749,74749,57745
853,57745,74749,74749,57745
854,57745,74749,74749,57745
855,57745,74749,74749,57745
856,57745,74749,74749,57745
857,57745,74749,74749,57745
858,57745,74749,74749,57745
859,57745,74749,74749,57745
860,57745,74749,74749,57745
861,57745,74749,74749,57745
862,57745,74749,74749,57745
863,57745,74749,74749,57745
864,57745,74749,74749,57745
865,57745,74749,74749,57745
866,57745,74749,74749,57745
867,57745,74749,74749,57745
868,57745,74749,74749,57745
869,57745,74749,74749,57745
870,57745,74749,74749,57745
871,57745,74749,74749,57745
872,57745,74749,74749,57745
873,57745,74749,74749,57745
874,57745,74749,74749,57745
875,57745,74749,74749,57745
876,57745,74749,74749,57745
877,57745,74749,74749,57745
878,57745,74749,74749,57745
879,57745,74749,74749,57745
880,57745,74749,74749,57745
881,57745,74749,74749,57745
882,57745,74749,74749,57745
883,57745,74749,74749,57745
884,57745,74749,74749,57745
885,57745,74749,74749,57745
886,57745,74749,74749,57745
887,57745,74749,74749,57745
888,57745,74749,74749,57745
889,57745,74749,74749,57745
890,57745,74749,74749,57745
891,57745,74749,74749,57745
892,57745,74749,74749,57745
893,57745,74749,74749,57745
894,57745,74749,74749,57745
895,57745,74749,74749,57745
896,57745,74749,74749,57745
897,57745,74749,74749,57745
898,57745,74749,74749,57745
899,57745,74749,74749,57745
900,57745,74749,74749,57745
901,57745,74749,74749,57745
902,57745,74749,74749,57745
903,57745,74749,74749,57745
904,57745,74749,74749,57745
905,57745,74749,74749,57745
906,57745,74749,74749,57745
907,57745,74749,74749,57745
908,57745,74749,74749,57745
909,57745,74749,74749,57745
910,57745,74749,74749,57745
911,57745,74749,74749,57745
912,57745,74749,74749,57745
913,57745,74749,74749,57745
914,57745,74749,74749,57745
915,57745,74749,74749,57745
916,57745,74749,74749,57745
917,57745,74749,74749,57745
918,57745,74749,74749,57745
919,57745,74749,74749,57745
920,57745,74749,74749,57745
921,57745,74749,74749,57745
922,57745,74749,74749,57745
923,57745,74749,74749,57745
924,57745,74749,74749,57745
925,57745,74749,74749,57745
926,57745,74749,74749,57745
927,57745,74749,74749,57745
928,57745,74749,74749,57745
929,57745,74749,74749,57745
930,57745,74749,74749,57745
931,57745,74749,74749,57745
932,57745,74749,74749,57745
933,57745,74749,74749,57745
934,57745,74749,74749,57745
935,57745,74749,74749,57745
936,57745,74749,74749,57745
937,57745,74749,74749,57745
938,57745,74749,74749,57745
939,57745,74749,74749,57745
940,57745,74749,74749,57745
941,57745,74749,74749,57745
942,57745,74749,74749,57745
943,57745,74749,74749,57745
944,57745,74749,74749,57745
945,57745,74749,74749,57745
946,57745,74749,74749,57745
947,57745,74749,74749,57745
948,57745,74749,74749,57745
949,57745,74749,74749,57745
950,57745,74749,74749,57745
951,57745,74749,74749,57745
952,57745,74749,74749,57745
953,57745,74749,74749,57745
954,57745,74749,74749,57745
955,57745,74749,74749,57745
956,57745,74749,74749,57745
957,57745,74749,74749,57745
958,57745,74749,74749,57745
959,57745,74749,74749,57745
960,57745,74749,74749,57745
961,57745,74749,74749,57745
962,57745,74749,74749,57745
963,57745,74749,74749,57745
964,57745,74749,74749,57745
965,57745,74749,74749,57745
966,57745,74749,74749,57745
967,57745,74749,74749,57745
968,57745,74749,74749,57745
969,57745,74749,74749,57745
970,57745,74749,74749,57745
971,57745,74749,74749,57745
972,57745,74749,74749,57745
973,57745,74749,74749,57745
974,57745,74749,74749,57745
975,57745,74749,74749,57745
976,57745,74749,74749,57745
977,57745,74749,74749,57745
978,57745,74749,74749,57745
979,57745,74749,74749,57745
980,57745,74749,74749,57745
981,57745,74749,74749,57745
982,57745,74749,74749,57745
983,57745,74749,74749,57745
984,57745,74749,74749,57745
985,57745,74749,74749,57745
