County Name,Bachelors,Total,High school,Bachelors
449,15285.8,76429,70314.68,15285.8
450,15285.8,76429,70314.68,15285.8
451,15285.8,76429,70314.68,15285.8
452,15285.8,76429,70314.68,15285.8
453,15285.8,76429,70314.68,15285.8
454,15285.8,76429,70314.68,15285.8
455,15285.8,76429,70314.68,15285.8
456,15285.8,76429,70314.68,15285.8
457,15285.8,76429,70314.68,15285.8
458,15285.8,76429,70314.68,15285.8
459,15285.8,76429,70314.68,15285.8
460,15285.8,76429,70314.68,15285.8
461,15285.8,76429,70314.68,15285.8
462,15285.8,76429,70314.68,15285.8
463,15285.8,76429,70314.68,15285.8
464,15285.8,76429,70314.68,15285.8
465,15285.8,76429,70314.68,15285.8
466,15285.8,76429,70314.68,15285.8
467,15285.8,76429,70314.68,15285.8
468,15285.8,76429,70314.68,15285.8
469,15285.8,76429,70314.68,15285.8
470,15285.8,76429,70314.68,15285.8
471,15285.8,76429,70314.68,15285.8
472,15285.8,76429,70314.68,15285.8
473,15285.8,76429,70314.68,15285.8
474,15285.8,76429,70314.68,15285.8
475,15285.8,76429,70314.68,15285.8
476,15285.8,76429,70314.68,15285.8
477,15285.8,76429,70314.68,15285.8
478,15285.8,76429,70314.68,15285.8
479,15285.8,76429,70314.68,15285.8
480,15285.8,76429,70314.68,15285.8
481,15285.8,76429,70314.68,15285.8
482,15285.8,76429,70314.68,15285.8
483,15285.8,76429,70314.68,15285.8
484,15285.8,76429,70314.68,15285.8
485,15285.8,76429,70314.68,15285.8
486,15285.8,76429,70314.68,15285.8
487,15285.8,76429,70314.68,15285.8
488,15285.8,76429,70314.68,15285.8
489,15285.8,76429,70314.68,15285.8
490,15285.8,76429,70314.68,15285.8
491,15285.8,76429,70314.68,15285.8
492,15285.8,76429,70314.68,15285.8
493,15285.8,76429,70314.68,15285.8
494,15285.8,76429,70314.68,15285.8
495,15285.8,76429,70314.68,15285.8
496,15285.8,76429,70314.68,15285.8
497,15285.8,76429,70314.68,15285.8
498,15285.8,76429,70314.68,15285.8
499,15285.8,76429,70314.68,15285.8
500,15285.8,76429,70314.68,15285.8
501,15285.8,76429,70314.68,15285.8
502,15285.8,76429,70314.68,15285.8
503,15285.8,76429,70314.68,15285.8
504,15285.8,76429,70314.68,15285.8
505,15285.8,76429,70314.68,15285.8
506,15285.8,76429,70314.68,15285.8
507,15285.8,76429,70314.68,15285.8
508,15285.8,76429,70314.68,15285.8
509,15285.8,76429,70314.68,15285.8
510,15285.8,76429,70314.68,15285.8
511,15285.8,76429,70314.68,15285.8
512,15285.8,76429,70314.68,15285.8
513,15285.8,76429,70314.68,15285.8
514,15285.8,76429,70314.68,15285.8
515,15285.8,76429,70314.68,15285.8
516,15285.8,76429,70314.68,15285.8
517,15285.8,76429,70314.68,15285.8
518,15285.8,76429,70314.68,15285.8
519,15285.8,76429,70314.68,15285.8
520,15285.8,76429,70314.68,15285.8
521,15285.8,76429,70314.68,15285.8
522,15285.8,76429,70314.68,15285.8
523,15285.8,76429,70314.68,15285.8
524,15285.8,76429,70314.68,15285.8
525,15285.8,76429,70314.68,15285.8
526,15285.8,76429,70314.68,15285.8
527,15285.8,76429,70314.68,15285.8
528,15285.8,76429,70314.68,15285.8
529,15285.8,76429,70314.68,15285.8
530,15285.8,76429,70314.68,15285.8
531,15285.8,76429,70314.68,15285.8
532,15285.8,76429,70314.68,15285.8
533,15285.8,76429,70314.68,15285.8
534,15285.8,76429,70314.68,15285.8
535,15285.8,76429,70314.68,15285.8
536,15285.8,76429,70314.68,15285.8
537,15285.8,76429,70314.68,15285.8
538,15285.8,76429,70314.68,15285.8
539,15285.8,76429,70314.68,15285.8
540,15285.8,76429,70314.68,15285.8
541,15285.8,76429,70314.68,15285.8
542,15285.8,76429,70314.68,15285.8
543,15285.8,76429,70314.68,15285.8
544,15285.8,76429,70314.68,15285.8
