County Name,Democrat,Total,democrat,republican
769,29043,76429,29043,43564
770,29043,76429,29043,43564
771,29043,76429,29043,43564
772,29043,76429,29043,43564
773,29043,76429,29043,43564
774,29043,76429,29043,43564
775,29043,76429,29043,43564
776,29043,76429,29043,43564
777,29043,76429,29043,43564
778,29043,76429,29043,43564
779,29043,76429,29043,43564
780,29043,76429,29043,43564
781,29043,76429,29043,43564
782,29043,76429,29043,43564
783,29043,76429,29043,43564
784,29043,76429,29043,43564
785,29043,76429,29043,43564
786,29043,76429,29043,43564
787,29043,76429,29043,43564
788,29043,76429,29043,43564
789,29043,76429,29043,43564
790,29043,76429,29043,43564
791,29043,76429,29043,43564
792,29043,76429,29043,43564
793,29043,76429,29043,43564
794,29043,76429,29043,43564
795,29043,76429,29043,43564
796,29043,76429,29043,43564
797,29043,76429,29043,43564
798,29043,76429,29043,43564
799,29043,76429,29043,43564
800,29043,76429,29043,43564
801,29043,76429,29043,43564
802,29043,76429,29043,43564
803,29043,76429,29043,43564
804,29043,76429,29043,43564
805,29043,76429,29043,43564
806,29043,76429,29043,43564
807,29043,76429,29043,43564
808,29043,76429,29043,43564
809,29043,76429,29043,43564
810,29043,76429,29043,43564
811,29043,76429,29043,43564
812,29043,76429,29043,43564
813,29043,76429,29043,43564
814,29043,76429,29043,43564
815,29043,76429,29043,43564
816,29043,76429,29043,43564
817,29043,76429,29043,43564
818,29043,76429,29043,43564
819,29043,76429,29043,43564
820,29043,76429,29043,43564
821,29043,76429,29043,43564
822,29043,76429,29043,43564
823,29043,76429,29043,43564
824,29043,76429,29043,43564
825,29043,76429,29043,43564
826,29043,76429,29043,43564
827,29043,76429,29043,43564
828,29043,76429,29043,43564
829,29043,76429,29043,43564
830,29043,76429,29043,43564
831,29043,76429,29043,43564
832,29043,76429,29043,43564
833,29043,76429,29043,43564
834,29043,76429,29043,43564
835,29043,76429,29043,43564
836,29043,76429,29043,43564
837,29043,76429,29043,43564
838,29043,76429,29043,43564
839,29043,76429,29043,43564
840,29043,76429,29043,43564
841,29043,76429,29043,43564
842,29043,76429,29043,43564
843,29043,76429,29043,43564
844,29043,76429,29043,43564
845,29043,76429,29043,43564
846,29043,76429,29043,43564
847,29043,76429,29043,43564
848,29043,76429,29043,43564
849,29043,76429,29043,43564
850,29043,76429,29043,43564
851,29043,76429,29043,43564
852,29043,76429,29043,43564
853,29043,76429,29043,43564
854,29043,76429,29043,43564
855,29043,76429,29043,43564
856,29043,76429,29043,43564
857,29043,76429,29043,43564
858,29043,76429,29043,43564
859,29043,76429,29043,43564
860,29043,76429,29043,43564
861,29043,76429,29043,43564
862,29043,76429,29043,43564
863,29043,76429,29043,43564
864,29043,76429,29043,43564
865,29043,76429,29043,43564
866,29043,76429,29043,43564
867,29043,76429,29043,43564
868,29043,76429,29043,43564
869,29043,76429,29043,43564
870,29043,76429,29043,43564
871,29043,76429,29043,43564
872,29043,76429,29043,43564
873,29043,76429,29043,43564
874,29043,76429,29043,43564
875,29043,76429,29043,43564
876,29043,76429,29043,43564
877,29043,76429,29043,43564
878,29043,76429,29043,43564
879,29043,76429,29043,43564
880,29043,76429,29043,43564
881,29043,76429,29043,43564
882,29043,76429,29043,43564
883,29043,76429,29043,43564
884,29043,76429,29043,43564
885,29043,76429,29043,43564
886,29043,76429,29043,43564
887,29043,76429,29043,43564
888,29043,76429,29043,43564
889,29043,76429,29043,43564
890,29043,76429,29043,43564
891,29043,76429,29043,43564
892,29043,76429,29043,43564
893,29043,76429,29043,43564
894,29043,76429,29043,43564
895,29043,76429,29043,43564
896,29043,76429,29043,43564
897,29043,76429,29043,43564
898,29043,76429,29043,43564
899,29043,76429,29043,43564
900,29043,76429,29043,43564
901,29043,76429,29043,43564
902,29043,76429,29043,43564
903,29043,76429,29043,43564
904,29043,76429,29043,43564
905,29043,76429,29043,43564
906,29043,76429,29043,43564
907,29043,76429,29043,43564
908,29043,76429,29043,43564
909,29043,76429,29043,43564
910,29043,76429,29043,43564
911,29043,76429,29043,43564
912,29043,76429,29043,43564
913,29043,76429,29043,43564
914,29043,76429,29043,43564
915,29043,76429,29043,43564
916,29043,76429,29043,43564
917,29043,76429,29043,43564
918,29043,76429,29043,43564
919,29043,76429,29043,43564
920,29043,76429,29043,43564
921,29043,76429,29043,43564
922,29043,76429,29043,43564
923,29043,76429,29043,43564
924,29043,76429,29043,43564
925,29043,76429,29043,43564
926,29043,76429,29043,43564
927,29043,76429,29043,43564
928,29043,76429,29043,43564
929,29043,76429,29043,43564
930,29043,76429,29043,43564
931,29043,76429,29043,43564
932,29043,76429,29043,43564
933,29043,76429,29043,43564
934,29043,76429,29043,43564
935,29043,76429,29043,43564
936,29043,76429,29043,43564
937,29043,76429,29043,43564
938,29043,76429,29043,43564
939,29043,76429,29043,43564
940,29043,76429,29043,43564
941,29043,76429,29043,43564
942,29043,76429,29043,43564
943,29043,76429,29043,43564
944,29043,76429,29043,43564
945,29043,76429,29043,43564
946,29043,76429,29043,43564
947,29043,76429,29043,43564
948,29043,76429,29043,43564
949,29043,76429,29043,43564
950,29043,76429,29043,43564
951,29043,76429,29043,43564
952,29043,76429,29043,43564
953,29043,76429,29043,43564
954,29043,76429,29043,43564
955,29043,76429,29043,43564
956,29043,76429,29043,43564
957,29043,76429,29043,43564
958,29043,76429,29043,43564
959,29043,76429,29043,43564
960,29043,76429,29043,43564
961,29043,76429,29043,43564
962,29043,76429,29043,43564
963,29043,76429,29043,43564
964,29043,76429,29043,43564
965,29043,76429,29043,43564
966,29043,76429,29043,43564
967,29043,76429,29043,43564
968,29043,76429,29043,43564
969,29043,76429,29043,43564
970,29043,76429,29043,43564
971,29043,76429,29043,43564
972,29043,76429,29043,43564
973,29043,76429,29043,43564
974,29043,76429,29043,43564
975,29043,76429,29043,43564
976,29043,76429,29043,43564
977,29043,76429,29043,43564
978,29043,76429,29043,43564
979,29043,76429,29043,43564
980,29043,76429,29043,43564
981,29043,76429,29043,43564
982,29043,76429,29043,43564
983,29043,76429,29043,43564
984,29043,76429,29043,43564
985,29043,76429,29043,43564
986,29043,76429,29043,43564
987,29043,76429,29043,43564
988,29043,76429,29043,43564
989,29043,76429,29043,43564
990,29043,76429,29043,43564
991,29043,76429,29043,43564
992,29043,76429,29043,43564
993,29043,76429,29043,43564
994,29043,76429,29043,43564
995,29043,76429,29043,43564
